time,num_replies,num_likes,num_retweets,tweet_text
2019-07-28T18:19:19.000Z,4.7K,61.4K,11.3K,"Here’s a worthwhile Sunday read: “…nothing should temper partisanship more than an awareness that somewhere, on some issue, people with whom you disagree are telling a story that you really need to hear.”"
2019-07-27T18:01:42.000Z,15.3K,179.8K,33.6K,"I’ve always been proud of what this team accomplished during my administration. But more than what we did, I’m proud of how they’re continuing to fight for an America that’s better."
2019-07-25T20:32:47.000Z,723,9.3K,1.5K,The Obama Foundation
2019-07-23T21:03:01.000Z,840,24.5K,4.1K,"Economist Raj Chetty is not only identifying the decline in opportunity we’ve seen in recent decades—but trying to reverse it. Inequality, like many problems we face, is as vast as it is complex. But this article left me a little more hopeful:"
2019-07-23T21:02:29.000Z,2.6K,64K,13.5K,Here are a couple of articles backed by new research that are worth taking a look at: A new study on the Medicaid expansion my administration fought for under the Affordable Care Act—and how these policy decisions affect lives in real terms:
2019-07-20T14:40:10.000Z,3.4K,120.4K,17.7K,"In America, we don’t fear the future, we embrace it. 50 years ago, that spirit took us to the moon. Today, it’s embodied by people like Tiffany Davis. She’s a young rocket scientist who is helping us explore the next frontier, wherever that might take us."
2019-07-19T19:46:43.000Z,20.5K,588.3K,126.9K,Michelle Obama
2019-07-01T16:03:09.000Z,2.5K,53.7K,13K,"The most important job in our democracy is citizen. If you’re tired of politicians manipulating maps and ignoring the will of voters, I hope you’ll sign "
2019-06-28T16:56:15.000Z,4.1K,181.7K,26.4K,"50 years ago, history was written at the Stonewall Inn when New York's LGBT community stood up, spoke out, and started a movement. In 2016 I was proud to designate it as a national monument—a reminder the arc of our history is an arc of progress as long as we keep pushing for it."
2019-06-27T20:08:06.000Z,1.5K,66.8K,6.9K,What a gift to come across this interview with Julia “Hurricane” Hawkins. I’m as grateful for her life advice as I am impressed by her 100-meter dash time.
2019-06-21T18:13:24.000Z,2.3K,89K,7.7K,"Now we’re talking! Congrats to Team USA for moving on, and thanks for continuing to make us all proud. "
2019-06-19T17:01:20.000Z,2.9K,159.1K,23.1K,"On Juneteenth, we celebrate our capacity to make real the promise of our founding, that thing inside each of us that says America is not yet finished, that compels all of us to fight for justice and equality until this country we love more closely aligns with our highest ideals."
2019-06-19T17:00:44.000Z,4.3K,288K,47.1K,"Outside the Oval Office, I kept a painting of a small crowd huddled around a pocketwatch, waiting for the moment the Emancipation Proclamation took effect. On Juneteenth, we celebrate the anniversary of that news - freedom - reaching slaves in Texas. And something more:"
2019-06-18T18:17:55.000Z,2.1K,46.4K,8.9K,"This is worth a read: a thought-provoking reminder that education reform isn’t a cure-all. As a supporter of education reform, I agree that fixing educational inequality requires doing more to address the broader, systemic sources of economic inequality."
2019-06-16T18:08:20.000Z,3.6K,235.6K,31K,"Yes we can, Greta. I’m hopeful because of you and all the young people who are fighting to protect the planet. Keep at it."
2019-06-16T13:47:03.000Z,2.3K,79.4K,11.9K,"Happy Father’s Day to Charles, one of our "
2019-06-14T20:51:12.000Z,537,8.7K,1.3K,The Obama Foundation
2019-06-11T16:15:32.000Z,2.6K,102.2K,12.3K,The 
2019-06-10T15:52:11.000Z,2.2K,195.8K,29.1K,"Six years ago, David Ortiz's spirit and resolve helped us all begin to heal from the Boston Marathon bombing. Today, I want to join many others in wishing him a speedy recovery of his own. Get well soon, Papi."
2019-06-07T14:27:18.000Z,8.3K,172.8K,31.7K,"Last week, it was Virginia Beach. But day after day and year after year, too many families and communities are shattered by senseless gun violence. We can't get numb to this. On National Gun Violence Awareness Day, pledge to speak out, "
2019-05-20T22:33:00.000Z,1.3K,18.3K,2.3K,The Obama Foundation
2019-05-20T18:50:12.000Z,4.1K,117.5K,17K,"Here’s a great story: While we’ve still got a lot of work to do to make college affordable for everyone, that didn’t stop Robert F. Smith from seizing an opportunity to make a difference. He’s erasing the student loan debt for this year’s "
2019-05-12T15:32:16.000Z,11.1K,730.3K,53.1K,"Happy Mother's Day to the most caring, brilliant, funny, and grounded woman I know—a perfect role model not just for our daughters, but so many others. Love you, "
2019-05-09T16:18:19.000Z,1.4K,33.5K,4.2K,As part of the 
2019-05-06T16:04:25.000Z,1.7K,158.6K,13.4K,Michelle Obama
2019-05-01T20:50:43.000Z,3.8K,119.2K,13.9K,Happy 
2019-04-30T20:31:44.000Z,3K,209.8K,25.2K,"Condolences to the family of John Singleton. His seminal work, Boyz n the Hood, remains one of the most searing, loving portrayals of the challenges facing inner-city youth. He opened doors for filmmakers of color to tell powerful stories that have been too often ignored."
2019-04-30T14:53:16.000Z,2.1K,51.7K,7.3K,Congratulations to the new class of 
2019-04-28T19:16:19.000Z,2.1K,70.1K,8.9K,"For thirty-six years, Richard Lugar proved that pragmatism and decency work—not only in Washington but all over the world. Michelle and I send our warmest sympathies to his family and all those who had the privilege of knowing this American statesman."
2019-04-23T21:02:20.000Z,1.8K,52.1K,6.1K,Dominique’s story is a reminder to us that where you’re from shouldn’t define what you can achieve. I’m proud of her and all students striving for a better future.
2019-04-11T00:08:43.000Z,2.9K,185K,21.1K,"From a big NBA fan, congrats to future Hall of Famers Dwyane Wade and Dirk Nowitzki—not just all-time greats but class acts, too."
2019-04-06T13:16:18.000Z,2.7K,37.5K,5.1K,"In just a few minutes, I’m taking the stage at the "
2019-04-05T16:25:09.000Z,2.8K,133.4K,27.2K,A voice everybody should hear.
2019-04-04T19:23:45.000Z,2.2K,78.8K,15.1K,Here’s a story about people doing good that's worth sharing: 
2019-04-03T19:07:17.000Z,2.5K,96.6K,8.5K,"Great to see Chicago’s historic mayoral race between two highly qualified candidates. Congrats to our next mayor, Lori Lightfoot—and Toni Preckwinkle campaigned hard and did us proud. I know that with our city’s heart and Lori’s leadership, Chicago’s best days are still ahead."
2019-04-02T13:08:49.000Z,2.3K,66.5K,6.6K,Valerie is one of my oldest friends and advisors – she was by my side when I first decided to run for office and for every major moment of the presidency. 
2019-03-26T18:33:57.000Z,6.5K,116.4K,13.7K,"Last night I had the chance to meet with first-term Democrats in Congress—it's a young, diverse class, stocked with a bunch of my campaign and administration alums who’ve taken the torch. This group is going to be driving progress for a long time to come."
2019-03-21T15:43:47.000Z,4.6K,58.1K,7.9K,"Just in the nick of time: My brackets have never been my one shining moment, but here we go again. You can check out my "
2019-03-20T14:20:35.000Z,1.3K,36.8K,8K,"And here are some ways to help cyclone victims in Mozambique, Malawi, and Zimbabwe:"
2019-03-20T14:19:59.000Z,2.8K,84.8K,17.8K,The floods in the Midwest and in southern Africa are heartbreaking. Suffering and loss on two sides of the world calls for solidarity and strength from all of us. Ask what you can do to help our fellow Americans and families in need. Here are some ideas:
2019-04-05T16:25:09.000Z,2.8K,133.4K,27.2K,A voice everybody should hear.
2019-03-08T13:29:54.000Z,5.3K,484.7K,102.7K,"On International Women’s Day, I’m reflecting on the future we all want for our daughters: one where they can live out their aspirations without limits. And I’m celebrating some of the women who are building that future for all of us today."
2019-02-21T19:01:39.000Z,4.2K,96.1K,20.3K,It’s up to all of us as citizens to make sure that the rules of democracy are fair—everywhere—because the next decade of our nation's progress is on the line. Join me and 
2019-02-21T04:41:44.000Z,3.7K,303.6K,30.9K,Zion Williamson seems like an outstanding young man as well as an outstanding basketball player. Wishing him a speedy recovery.
2019-02-20T00:02:24.000Z,2.8K,103.8K,10.5K,I’m about to join 
2019-02-18T19:56:06.000Z,1.5K,25.1K,4.9K,The Obama Foundation
2019-02-16T20:40:27.000Z,3.6K,156.3K,22.2K,"I’ve always loved basketball because it’s about building a team that’s equal to more than the sum of its parts. Glad to see this expansion into Africa because for a rising continent, this can be about a lot more than what happens on the court."
2019-02-14T18:32:00.000Z,5.8K,411.1K,36.5K,"Happy Valentine’s Day to the extraordinarily smart, beautiful, funny, one and only "
2019-02-14T15:18:47.000Z,5.6K,471.7K,71.3K,"In the year since their friends were killed, the students of Parkland refused to settle for the way things are and marched, organized, and pushed for the way things should be - helping pass meaningful new gun violence laws in states across the country. I'm proud of all of them."
2019-02-14T03:10:37.000Z,4.2K,290.7K,33.9K,"Don’t be sad it’s over, be proud it taught us so much. Congrats to all the men and women of "
2019-02-13T01:18:20.000Z,1.9K,125.1K,11.7K,Happy 85th birthday to 
2018-12-29T16:15:20.000Z,1.3K,110.7K,18.7K,"Leaders like Jonny Boucher, a Chicago native who, after losing too many friends and family to suicide, started a coffee shop to offer emotional support and guidance to those who might be in need of a little more than a strong cup of coffee to get through their day."
