time,num_replies,num_likes,num_retweets,tweet_text
2020-02-08T21:08:35.000Z,21.6K,216.8K,48.1K,"Pete Rose played Major League Baseball for 24 seasons, from 1963-1986, and had more hits, 4,256, than any other player (by a wide margin). He gambled, but only on his own team winning, and paid a decades long price. GET PETE ROSE INTO THE BASEBALL HALL OF FAME. It’s Time!"
2020-02-06T23:14:45.000Z,2.1K,31.9K,7.7K,Rep. Mike Johnson
2020-02-07T18:29:25.000Z,1.8K,27.2K,6.9K,Rep. Mike Johnson
2020-02-06T23:25:31.000Z,17.2K,89.8K,25.3K,Rep. Mike Johnson
2020-02-06T17:58:12.000Z,1.5K,22K,4.4K,Congresswoman Debbie Lesko
2020-02-08T03:43:25.000Z,628,18.1K,4.7K,Francis Brennan (Text TRUMP to 88022)
2020-02-06T23:25:31.000Z,17.2K,89.8K,25.3K,Rep. Mike Johnson
2020-02-06T18:27:14.000Z,355,16.2K,3.9K,KTAR News 92.3
2020-02-08T19:48:10.000Z,2.1K,37.6K,9.4K,Total and complete Endorsement for Debbie Lesko! 
2020-02-08T18:43:16.000Z,5K,51.8K,11.6K,"...the worst weeks ever.” She could have had a much better week if Crazy Nancy, who is the most overrated person in politics (going to lose the House a second time), didn’t bring the phony & corrupt Impeachment Hoax. Dems can’t do anything right, just look at the Iowa vote count!"
2020-02-08T18:43:14.000Z,7.8K,54.2K,12.7K,.
2020-02-08T15:30:33.000Z,8.3K,65.2K,16.3K,"The only way to stop the crazed Radical Left, Do Nothing Democrats “is for the Republican Senate to run an offense here”. "
2020-02-08T15:16:46.000Z,11.2K,119K,26.1K,"Crazy Nancy Pelosi’s Impeachment Hoax has lifted Republican Congressional Polls (she lost the House once before!), and my Polls, WAY UP, which was expected, but it has had a great effect on Republican Senate races, including North Carolina, Kentucky, Colorado and Arizona. Thanks!"
2020-02-08T15:03:58.000Z,3.9K,74.5K,17.9K,Thank you Iowa for the RECORD vote we just received in the Primary. The Dems were 25% down (although their votes are all fried!).
2020-01-31T00:19:23.000Z,8.1K,73.5K,18.8K,Donald J. Trump
2020-02-08T14:41:09.000Z,14.3K,90.7K,20.5K,"....was given a horrendous report by his superior, the man he reported to, who publicly stated that Vindman had problems with judgement, adhering to the chain of command and leaking information. In other words, “OUT”."
2020-02-08T14:41:09.000Z,30K,115.9K,27.5K,Fake News 
2020-02-07T21:57:24.000Z,17.6K,123.5K,26.5K,Donald J. Trump
2020-02-07T21:57:25.000Z,10.9K,76.4K,17.8K,Donald J. Trump
2020-02-07T22:38:40.000Z,2.6K,34.8K,9.6K,Donald Trump Jr.
2020-02-08T02:21:15.000Z,2.6K,45.5K,10.3K,Donald Trump Jr.
2020-02-08T02:22:31.000Z,1.1K,20.7K,6.4K,Donald Trump Jr.
2020-02-08T02:32:43.000Z,697,20.6K,5.7K,Arthur Schwartz
2020-02-08T03:04:42.000Z,3.6K,62.1K,13.3K,Donald Trump Jr.
2020-02-08T12:23:26.000Z,2.6K,46.2K,10.6K,Not good!
2020-02-08T04:08:30.000Z,1.2K,25.4K,8.7K,Van Jones
2020-02-08T03:57:51.000Z,599,28.5K,8.8K,Steve Guest
2020-02-08T04:41:45.000Z,1.5K,33.8K,7.9K,Donald Trump Jr.
2020-02-08T03:09:02.000Z,938,23.9K,7.3K,Ronna McDaniel
2020-02-08T03:31:11.000Z,430,22.6K,5.4K,Diamond and Silk®
2020-02-08T03:39:05.000Z,818,24.2K,6.3K,Ronna McDaniel
2020-02-07T23:26:59.000Z,13.5K,111.7K,29.9K,"After years building up other countries, we are finally rebuilding OUR Country. From our inner cities to our rural communities, the forgotten men and women of America are forgotten NO LONGER! "
2020-02-07T21:57:25.000Z,10.9K,76.4K,17.8K,"....always continue. Every Republican Senator except Romney, many highly religious people, all very smart, voted against the Impeachment Hoax. "
2020-02-07T21:57:24.000Z,17.6K,123.5K,26.5K,"I was very surprised & disappointed that Senator Joe Manchin of West Virginia voted against me on the Democrat’s totally partisan Impeachment Hoax. No President has done more for the great people of West Virginia than me (Pensions), and that will...."
2020-02-07T20:00:51.000Z,5.1K,75.6K,17.5K,"Great to be in Charlotte, North Carolina as we expand and grow this unprecedented economic momentum. Today, we launched a brand new nationwide campaign to revitalize under-served cities and towns across America – it’s called OPPORTUNITY NOW!"
2020-02-07T17:51:42.000Z,13.5K,163K,33.3K,"Another win just in. Nervous Nancy Pelosi and the Democrats in Congress sued me, thrown out. This one unanimous, in the D.C. Circuit.
Witch Hunt!"
2020-02-06T18:30:07.000Z,1.3K,33.7K,8.9K,Dan Bongino
2020-02-06T19:16:07.000Z,2.2K,64K,28.4K,John Solomon
2020-02-06T13:58:04.000Z,1.8K,33.5K,9.4K,Erin Perrine
2020-02-06T21:29:36.000Z,3.4K,48.5K,18.3K,Elizabeth Harrington
2020-02-06T23:40:47.000Z,253,18.8K,6K,Dan Bongino
2020-02-06T21:29:36.000Z,3.4K,48.5K,18.3K,Elizabeth Harrington
2020-02-07T20:00:51.000Z,5.1K,75.6K,17.5K,"Great to be in Charlotte, North Carolina as we expand and grow this unprecedented economic momentum. Today, we launched a brand new nationwide campaign to revitalize under-served cities and towns across America – it’s called OPPORTUNITY NOW!"
2020-02-07T16:31:56.000Z,13.4K,151.8K,27.1K,"The Democrat Party has given up on counting votes in Iowa. Looks like it all got computer “fried”. Nobody knows who the real winner is. Maybe it’s Sleepy Joe, but it’s not looking that way. They lost millions & millions of dollars, all for NOTHING. But I WON Iowa big!"
2020-02-07T13:51:07.000Z,3.3K,41.2K,12.3K,5:001M views
2020-02-07T12:59:58.000Z,11.5K,109.2K,26K,"I think they should blame RUSSIA, RUSSIA, RUSSIA again! If they can’t count votes properly, how are they going to run U.S. HealthCare?"
2020-02-07T12:55:06.000Z,5.5K,152.4K,33.3K,Welcome back James!
2020-02-07T12:47:41.000Z,2.8K,50.2K,10.9K,"Very true, thank you Ted & John. I love Texas!"
2020-02-05T22:17:02.000Z,2.3K,39.6K,10.1K,Senator Rand Paul
2020-02-05T22:17:02.000Z,1.3K,32.4K,8.4K,Senator Rand Paul
2020-02-05T03:20:27.000Z,2.8K,79.3K,14.7K,Senator Rand Paul
2020-02-03T21:49:04.000Z,1K,17.2K,4.6K,Sergio Gor
2020-02-05T03:33:14.000Z,18.4K,63.5K,11.2K,Marco Rubio
2020-02-05T10:23:20.000Z,1.1K,22.1K,5.5K,Marco Rubio
2020-02-05T12:05:25.000Z,2.8K,21.8K,5.2K,Marco Rubio
2020-02-07T04:43:27.000Z,4.1K,92.9K,17.4K,Ted Cruz
2020-02-07T05:13:31.000Z,1.2K,21.8K,7.6K,Ted Cruz
2020-02-07T05:15:55.000Z,3.1K,34.2K,8.2K,Ted Cruz
2020-02-07T12:39:38.000Z,1.4K,31.1K,6.6K,So do I!
2020-02-05T21:01:31.000Z,12.7K,71.9K,16K,Leader McConnell
2020-02-05T22:56:44.000Z,6.9K,50.4K,14.9K,Leader McConnell
2020-02-07T05:05:49.000Z,508,21.6K,6.3K,Tom Fitton
2020-02-01T00:14:05.000Z,601,17.1K,5.7K,Tom Fitton
2020-02-06T14:27:01.000Z,1.9K,69.8K,17.2K,Charlie Kirk
2020-02-06T16:48:30.000Z,1K,29.6K,8K,Charlie Kirk
2020-02-07T03:23:03.000Z,1.2K,58.9K,13.5K,Charlie Kirk
2020-02-07T12:00:48.000Z,1.9K,50.5K,10.7K,Thank you Charlie!
2020-02-05T03:50:38.000Z,3.3K,100.9K,23.2K,Candace Owens
2020-02-07T02:36:16.000Z,1.7K,54.8K,16.6K,Dan Bongino
2020-02-06T14:38:34.000Z,1.7K,24.2K,6.3K,Rep Andy Biggs
2020-02-07T00:24:29.000Z,649,21.1K,5K,Rep. Matt Gaetz
2020-02-07T00:24:29.000Z,216,20K,4.4K,Rep. Matt Gaetz
2020-02-07T00:24:28.000Z,474,35.4K,9.3K,Rep. Matt Gaetz
2020-02-06T14:38:34.000Z,1.7K,24.2K,6.3K,Rep Andy Biggs
2020-02-07T00:22:20.000Z,1.1K,22.6K,5.8K,Lou Dobbs
2020-02-07T03:43:23.000Z,389,24K,6.7K,Lee Zeldin
2020-02-07T04:01:45.000Z,610,28.1K,7.1K,Mark Meadows
2020-02-06T20:09:47.000Z,3.8K,54.1K,11.4K,Devin Nunes
2020-02-06T21:37:52.000Z,1.7K,50.8K,14.3K,Lee Zeldin
2020-02-07T03:32:31.000Z,27.6K,162.6K,40.3K,James Woods
2020-02-07T11:28:13.000Z,5.6K,102.4K,29.2K,"Don’t worry, it won’t happen!"
